activity_code,activity_code_raw,ippc_code,is_subitem,description
1(a),1.(a),1.2,False,Mineral oil and gas refineries
1(b),1.(b),1.4,False,Installations for gasification and liquefaction
1(c),1.(c),1.1,False,Thermal power stations and other combustion installations
1(d),1.(d),1.3,False,Coke ovens
1(e),1.(e),,False,Coal rolling mills
1(f),1.(f),,False,Installations for the manufacture of coal products and solid smokeless fuel
2(a),2.(a),2.1,False,Metal ore (including sulphide ore) roasting or sintering installations
2(b),2.(b),2.2,False,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting
2(c),2.(c),2.3,False,Installations for the processing of ferrous metals
2(c)(i),2.(c).(i),2.3.(a),True,Hot-rolling mills
2(c)(ii),2.(c).(ii),2.3.(b),True,Smitheries with hammers
2(c)(iii),2.(c).(iii),2.3.(c),True,Application of protective fused metal coats
2(d),2.(d),2.4,False,Ferrous metal foundries
2(e),2.(e),2.5,False,Installations:
2(e)(i),2.(e).(i),2.5.(a),True,"For the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes"
2(e)(ii),2.(e).(ii),2.5.(b),True,"For the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)"
2(f),2.(f),2.6,False,Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process
3(a),3.(a),,False,Underground mining and related operations
3(b),3.(b),,False,Opencast mining and quarrying
3(c),3.(c),3.1,False,Installations for the production of:
3(c)(i),3.(c).(i),3.1,True,Cement clinker in rotary kilns
3(c)(ii),3.(c).(ii),3.1,True,Lime in rotary kilns
3(c)(iii),3.(c).(iii),3.1,True,Cement clinker or lime in other furnaces
3(d),3.(d),3.2,False,Installations for the production of asbestos and the manufacture of asbestos-based products
3(e),3.(e),3.3,False,"Installations for the manufacture of glass, including glass fibre"
3(f),3.(f),3.4,False,"Installations for melting mineral substances, including the production of mineral fibres"
3(g),3.(g),3.5,False,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain"
