source_id,eprtr_facility_name,iso3_country,eprtr_lat,eprtr_lon,eprtr_activity,process_heat_temp_band,process_temp_c,annual_heat_demand_MWh_th,load_mw,potential_mw_solar,suitable_land_adj_km2,land_feasibility_adj,overlap_n_neighbours,overlap_area_total_km2,bnef_year_used,epsilon_used
PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,POL,50.806941986084,20.5222225189209,3(c),high,750.0,8533.33,0.9741,3448.23,34.4823,FEASIBLE,1,14.5029,2025.0,0.48
FR.CAED/10790.FACILITY,VERSALIS FRANCE S.A.S.,FRA,51.03032,2.2455,4(a)(i),mid,350.0,330602.13,37.74,9296.84,92.9684,FEASIBLE,0,0.0,2025.0,0.8
ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,ESP,41.546601,-0.678377,6(b),high,750.0,1136283.56,129.7127,10992.92,109.9292,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/7624.FACILITY,KEM ONE,FRA,43.45583,4.93172,4(a)(vi),mid,350.0,143978.08,16.4359,0.0,0.0,INFEASIBLE,6,984.5594,2025.0,0.8
IT.CAED/441221002.FACILITY,YARA ITALIA SPA - STABILIMENTO DI FERRARA,ITA,44.856,11.5921,4(b),mid,350.0,289961.11,33.1006,23811.49,238.1149,FEASIBLE,0,0.0,2025.0,0.82
ES.CAED/001482000.FACILITY,REFINERÍA LA RÁBIDA,ESP,37.184329,-6.894507,1(a),mid,350.0,3154384.19,360.0895,5522.44,55.2244,INFEASIBLE,1,305.3708,2025.0,0.78
FR.CAED/3437.FACILITY,CRISTAL UNION,FRA,49.35335,4.15622,8(b)(ii),low,150.0,635777.18,72.5773,26640.86,266.4086,FEASIBLE,0,0.0,2025.0,0.85
FR.CAED/7658.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,FRA,43.38846,5.15267,1(a),mid,350.0,704648.34,80.4393,1425.62,14.2562,INFEASIBLE,5,236.0958,2025.0,0.78
ES.CAED/003701000.FACILITY,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",ESP,43.325743,-3.110944,1(a),mid,350.0,905883.33,103.4113,909.44,9.0944,INFEASIBLE,0,0.0,2025.0,0.78
IT.CAED/850122001.FACILITY,CENTRO OLI TEMPA ROSSA,ITA,40.4101,16.0871,3(a),high,750.0,560340.35,63.9658,926.7,9.267,INFEASIBLE,1,2.2519,2025.0,0.75
IT.CAED/960101005.FACILITY,Raffineria ISAB Impianti NORD,ITA,37.1791,15.1825,1(a),mid,350.0,3192093.73,364.3943,3569.38,35.6938,INFEASIBLE,2,496.1436,2025.0,0.78
FR.CAED/12675.FACILITY,TEREOS FRANCE,FRA,48.08478,1.88246,8(b)(ii),low,150.0,256422.72,29.272,23790.14,237.9014,FEASIBLE,0,0.0,2025.0,0.85
