Year,Month,Day,Hour,Load_MW,Solar_available_MW (142.5 MW),Solar_used_MW,TES_charge_MW,TES_discharge_MW,"TES_usable_SOC_MWh (P_ch=165.0, P_dis=41.2 MW, E=495.0 MWh)",Curtail_MW,Unserved_MW
2023,1,1,0,9.7055,0.0,-0.0,-0.0,0.0,0.0,0.0,9.7055
2023,1,1,1,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,2,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,3,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,4,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,5,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,6,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,7,9.7055,0.0,-0.0,0.0,-0.0,0.0,0.0,9.7055
2023,1,1,8,9.7055,14.076179121806385,10.036711478800415,-0.0,0.0,0.0,4.03946764300597,0.0
2023,1,1,9,9.7055,48.55825703734526,10.036711478800415,-0.0,0.0,0.0,38.521545558544844,0.0
2023,1,1,10,9.7055,81.70198620892137,10.036711478800415,-0.0,0.0,0.0,71.66527473012096,0.0
2023,1,1,11,9.7055,69.00121341078278,29.509524720077955,19.47281324127754,0.0,18.219572018356104,39.49168869070483,0.0
2023,1,1,12,9.7055,84.64948908699908,84.64948908699908,74.61277760819867,0.0,88.03038252007369,0.0,0.0
2023,1,1,13,9.7055,68.84443134279992,68.84443134279992,58.80771986399951,0.0,143.05332522597087,0.0,0.0
2023,1,1,14,9.7055,42.12306579241251,42.12306579241251,32.0863543136121,0.0,173.07464962218808,0.0,0.0
2023,1,1,15,9.7055,0.165333817145559,0.165333817145559,0.0,9.871377661654856,163.05178416884115,0.0,0.0
2023,1,1,16,9.7055,0.0,0.0,0.0,10.036711478800415,152.86104765828858,0.0,0.0
2023,1,1,17,9.7055,0.0,0.0,0.0,10.036711478800415,142.67031114773602,0.0,0.0
2023,1,1,18,9.7055,0.0,0.0,0.0,10.036711478800415,132.47957463718345,0.0,0.0
2023,1,1,19,9.7055,0.0,0.0,0.0,10.036711478800415,122.28883812663088,0.0,0.0
2023,1,1,20,9.7055,0.0,0.0,0.0,10.036711478800415,112.09810161607831,0.0,0.0
2023,1,1,21,9.7055,0.0,0.0,0.0,10.036711478800415,101.90736510552574,0.0,0.0
2023,1,1,22,9.7055,0.0,0.0,0.0,10.036711478800415,91.71662859497317,0.0,0.0
2023,1,1,23,9.7055,0.0,0.0,0.0,10.036711478800415,81.5258920844206,0.0,0.0
2023,1,2,0,9.7055,0.0,0.0,0.0,10.036711478800415,71.33515557386804,0.0,0.0
2023,1,2,1,9.7055,0.0,0.0,0.0,10.036711478800415,61.14441906331545,0.0,0.0
2023,1,2,2,9.7055,0.0,0.0,0.0,10.036711478800415,50.95368255276288,0.0,0.0
2023,1,2,3,9.7055,0.0,0.0,0.0,10.036711478800415,40.7629460422103,0.0,0.0
2023,1,2,4,9.7055,0.0,0.0,0.0,10.036711478800415,30.572209531657727,0.0,0.0
2023,1,2,5,9.7055,0.0,0.0,0.0,10.036711478800415,20.38147302110515,0.0,0.0
2023,1,2,6,9.7055,0.0,0.0,0.0,10.036711478800415,10.190736510552576,0.0,0.0
2023,1,2,7,9.7055,0.0,0.0,0.0,10.036711478800415,0.0,0.0,0.0
2023,1,2,8,9.7055,18.128282933399696,10.036711478800415,-0.0,0.0,0.0,8.091571454599281,0.0
2023,1,2,9,9.7055,27.143251842414013,10.036711478800415,-0.0,0.0,0.0,17.106540363613597,0.0
2023,1,2,10,9.7055,38.484296523683085,10.036711478800415,-0.0,0.0,0.0,28.447585044882672,0.0
2023,1,2,11,9.7055,73.17161641912679,23.648483127399437,13.611771648599024,0.0,12.735738322769294,49.523133291727355,0.0
2023,1,2,12,9.7055,83.33822088205156,83.33822088205156,73.30150940325115,0.0,81.31967188588514,0.0,0.0
2023,1,2,13,9.7055,72.04421082117733,72.04421082117733,62.00749934237692,0.0,139.33646103434853,0.0,0.0
2023,1,2,14,9.7055,46.09250269543304,46.09250269543304,36.05579121663263,0.0,173.07175529361558,0.0,0.0
2023,1,2,15,9.7055,0.16818440019977854,0.16818440019977854,0.0,9.868527078600636,163.05178416884115,0.0,0.0
2023,1,2,16,9.7055,0.0,0.0,0.0,10.036711478800415,152.86104765828858,0.0,0.0
2023,1,2,17,9.7055,0.0,0.0,0.0,10.036711478800415,142.67031114773602,0.0,0.0
2023,1,2,18,9.7055,0.0,0.0,0.0,10.036711478800415,132.47957463718345,0.0,0.0
2023,1,2,19,9.7055,0.0,0.0,0.0,10.036711478800415,122.28883812663088,0.0,0.0
2023,1,2,20,9.7055,0.0,0.0,0.0,10.036711478800415,112.09810161607831,0.0,0.0
2023,1,2,21,9.7055,0.0,0.0,0.0,10.036711478800415,101.90736510552574,0.0,0.0
2023,1,2,22,9.7055,0.0,0.0,0.0,10.036711478800415,91.71662859497317,0.0,0.0
2023,1,2,23,9.7055,0.0,0.0,0.0,10.036711478800415,81.5258920844206,0.0,0.0
2023,1,3,0,9.7055,0.0,0.0,0.0,10.036711478800415,71.33515557386804,0.0,0.0
2023,1,3,1,9.7055,0.0,0.0,0.0,10.036711478800415,61.14441906331545,0.0,0.0
2023,1,3,2,9.7055,0.0,0.0,0.0,10.036711478800415,50.95368255276288,0.0,0.0
2023,1,3,3,9.7055,0.0,0.0,0.0,10.036711478800415,40.7629460422103,0.0,0.0
2023,1,3,4,9.7055,0.0,0.0,0.0,10.036711478800415,30.572209531657727,0.0,0.0
