eprtr_activity,sector_description,dataset_coverage,dominant_fuels_pct,primary_unit_types,end_use_split,epsilon_recommended,epsilon_range_by_unit,epsilon_source,notes
1(a),Petroleum Refineries,"n=100, 1123 PJ","OtherGas 70%, NatGas 18%, Liquid 9%",Process furnaces/heaters; Steam boilers; CHP steam turbines; Gas turbines + HRSG; Fired reboilers,Direct process heat ~55%; Steam/boiler ~25%; CHP heat fraction ~20%,0.78,0.75-0.80 (furnace); 0.88-0.92 (gas boiler); 0.40 heat fraction (CHP); weighted avg 0.78,"Saad et al. 2026 (furnace 75%, boiler 88-94%, CHP 40%); LCP BREF 2017; Refinery BREF 2015","OtherGas = refinery fuel gas (still gas, H2, C1-C2) burned on-site; all combustion = heat. Weighted epsilon across furnaces, boilers, CHP. No eta adjustment needed - LCP reports combustion fuel only."
1(b),Coke Ovens,"n=8, 49 PJ","OtherGas ~60%, Coal ~35%",Coke oven batteries; Under-firing burners; By-product recovery boilers,Direct carbonisation heat ~80%; Steam recovery ~20%,0.72,0.65-0.78,Iron & Steel BREF 2012; LCP BREF 2017,OtherGas = coke oven gas (COG) used as under-firing fuel. High-temp direct heat ~1000-1100 degC. Lower epsilon due to high exhaust losses. No eta adjustment needed.
2(b),Iron & Steel (blast furnace/BOF),"n=29, ~82 PJ dominant","OtherGas 56%, Coal 20%, NatGas 19%",Blast furnace stoves; Hot blast stoves; Reheating furnaces; Sinter plants; CHP boilers (BFG-fired); Ladle preheaters,Direct process heat ~65%; CHP heat fraction ~20%; Steam ~15%,0.72,0.65-0.80,Iron & Steel BREF 2012; Saad et al. 2026 (direct process 75%); Fraunhofer ISI 2024,OtherGas = blast furnace gas (BFG) + COG - byproducts burned for heat. No blast furnace coke in LCP fuel columns so no reducing agent adjustment needed. Dominant process is high-temp direct heat >1000 degC.
2(e)/(f),"Non-ferrous Metals (Pb, Zn, Cu, precious)","n=16, ~40 PJ","OtherGas ~40%, NatGas ~35%, Coal ~15%",Smelting furnaces; Reverberatory furnaces; Roasters; Anode furnaces; Steam boilers,Direct smelting ~70%; Steam ~20%; CHP ~10%,0.72,0.65-0.78,Non-ferrous Metals BREF 2017; Saad et al. 2026,"High-temp direct process heat 800-1200 degC. Nearly all CO2 from combustion. Secondary Al uses rotary furnaces (fuel-fired); primary Al uses EAF (electricity-dominated, unlikely in LCP set)."
3(a),Cement Clinker Kilns,"n=9, 35 PJ","NatGas ~45%, OtherGas ~35%, Coal ~15%",Rotary kilns; Precalciners; Cyclone preheater towers; Raw meal dryers,Direct kiln heat ~95%; Utilities ~5%,0.75,0.70-0.80,Saad et al. 2026; EU Cement BREF 2013; Liu et al. 2015 J.Energy Inst.,LCP fuel = combustion fuel only. Calcination CO2 (CaCO3->CaO+CO2) is a process emission not tied to fuel consumption - does not appear in LCP fuel columns. No eta adjustment needed. Kiln temps >1400 degC.
3(b),Lime Production,"n=2, 2 PJ","NatGas ~60%, Coal ~25%",Shaft kilns (PFR); Rotary kilns; Parallel-flow regenerative kilns,Direct kiln heat ~95%; Utilities ~5%,0.78,Shaft kiln 0.80; Rotary kiln 0.72,Lime BREF 2013; Cement & Lime BREF revision 2019,Same reasoning as cement - calcination CO2 not in LCP fuel columns. No eta needed. PFR shaft kilns most efficient in EU. Kiln temps 900-1200 degC.
3(c)/(c)(i-iii),Glass Manufacturing,"n=21 combined, ~35 PJ","NatGas ~55%, OtherGas ~35%",End-fired regenerative furnaces; Cross-fired furnaces; Oxy-fuel furnaces; Electric boosters; Lehrs (annealing),Direct glass melting ~90%; Utilities/steam ~10%,0.48,Regenerative furnace 0.45-0.55; Oxy-fuel 0.55-0.65,Glass BREF 2012; Agora Industry / Fraunhofer ISI 2024,Low epsilon because melting at 1400-1600 degC has large exhaust losses; regenerative furnaces recover heat through checkerwork but net efficiency still 45-55%. OtherGas may be producer gas. No eta adjustment needed.
3(e),Mineral Fibres (glass/stone wool),"n=6, ~5 PJ","NatGas ~70%, OtherGas ~20%",Tank furnaces; Cupola furnaces (stone wool); Curing ovens,Direct melting ~85%; Steam ~15%,0.68,0.60-0.75,Mineral Wool BREF 2001 (under revision); Glass BREF 2012,Melting at 1400-1550 degC. Similar reasoning to glass sector. No eta adjustment needed.
4(a) - general,"Basic Organic Chemicals (olefins, petrochems)","n=147, ~420 PJ dominant","NatGas ~50%, OtherGas ~30%, Lignite ~8%",Steam crackers; Process furnaces; CHP steam turbines; Industrial boilers; Fired reboilers,Direct furnaces ~45%; Steam/boiler ~30%; CHP heat fraction ~25%,0.8,Furnace 0.75-0.80; Gas boiler 0.88-0.92; CHP heat 0.40; weighted avg ~0.80,Saad et al. 2026; Chemicals BREF 2017; Fraunhofer ISI 2024,"OtherGas = tail gas, syn gas, refinery gas - all combusted for heat. CHP very common in large chemical complexes. No eta adjustment for general petrochemicals. H2 plants require separate treatment - see row below."
4(a) - H2 plants,Hydrogen Production via SMR (subset of 4a),subset - flag separately,NatGas dominant,Steam methane reformers; Reformer furnaces; Shift reactors,Reformer furnace heat ~100% of reported fuel,0.75,0.72-0.78 (reformer furnace),Saad et al. 2026; EPA GHGRP Chemicals Sector Profile,IMPORTANT: methane used as feedstock in SMR reaction (CH4+H2O->CO+H2) is NOT combustion fuel and does NOT appear in LCP fuel columns. LCP reports only fuel burned in reformer burners to heat the reaction. So epsilon applies normally to reported LCP fuel. No eta adjustment needed. Identify H2 plants by facility name if possible.
