eprtr_facility_id,eprtr_base_id,eprtr_facility_name,eprtr_country,eprtr_activity,eprtr_lat,eprtr_lon,eprtr_co2_t,eprtr_co2_year,match_method,match_km,lcp_base_id,lcp_inspire_id,lcp_city,lcp_n_base_ids,lcp_n_parts,lcp_lat,lcp_lon,lcp_NaturalGas_TJ,lcp_Coal_TJ,lcp_Lignite_TJ,lcp_OtherSolidFuels_TJ,lcp_LiquidFuels_TJ,lcp_Peat_TJ,lcp_OtherGases_TJ,lcp_Biomass_TJ,lcp_substitutable_thermal_TJ,lcp_total_TJ
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-3192067-00000000,https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-3192067-00000000,HeidelbergCement AG Zementwerk Leimen Zementwerk Leimen,Germany,3(c),49.35766,8.68583,153000.0,2022,no_match,,,,,0,,,,,,,,,,,,,
UK.CAED/EW_EA-558.FACILITY,UK.CAED/EW_EA-558,Wissington Sugar Factory EPR/BX2108IQ,United Kingdom,8(b),52.551275,0.45208327,331000.0,2019,spatial_nearest,0.0,UK.CAED/EW_EA-558-1; UK.CAED/EW_EA-558-2,UK.CAED/EW_EA-558-1.PART,King's Lynn,2,2.0,52.551275,0.45208327,4360.0,,,,,,,,4360.0,4360.0
NL.EEA/4001.FACILITY,NL.EEA/4001,Clauscentrale,Netherlands,1(c),51.15446,5.90718,229000.0,2014,spatial_nearest,0.207,NL.RIVM/004001002,NL.RIVM/004001002.PART,Maasbracht,1,1.0,51.15423,5.91012,7574.01822,,,,,,,,7574.01822,7574.01822
EE.KAUR.TTR/74.FACILITY,EE.KAUR.TTR/74,"Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti elektrijaam",Estonia,1(c),59.3529644401,28.1258147762,324000.0,2024,spatial_nearest,0.0,EE.KAUR.TTR/74A; EE.KAUR.TTR/74B; EE.KAUR.TTR/74C,EE.KAUR.TTR/74A.PART,Narva linn,3,3.0,59.352964441000005,28.125814776,1150.0,,,1740.0,34.7,,,788.0,2924.7,3712.7
CZ.MZP.T806/CZ90276630.FACILITY,CZ.MZP.T806/CZ90276630,"BorsodChem MCHZ, s.r.o.",Czechia,4(a)(iv),49.83498533,18.23310059,110647.0,2022,no_match,,,,,0,,,,,,,,,,,,,
SI.ARSO/000000011.FACILITY,SI.ARSO/000000011,Alpacem Cement Anhovo,Slovenia,3(c)(i),46.06865,13.628036,684374.0,2024,no_match,,,,,0,,,,,,,,,,,,,
NL.RIVM/000042310.FACILITY,NL.RIVM/000042310,Cosun Beet Company-Dinteloord,Netherlands,8(b)(ii),51.61818,4.43437,135000.0,2024,spatial_nearest,0.196,NL.RIVM/042310001; NL.RIVM/042310002,NL.RIVM/042310001.PART,Dinteloord,2,2.0,51.61962,4.43273,1906.040765,,,,,,,60.103306,1906.040765,1966.144071
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0990890,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0990890,thyssenkrupp Steel Europe AG Werk Kokerei Schwelgern,Germany,1(d),51.50099,6.72887,1846000.0,2024,spatial_nearest,0.992,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-112000-100-0008504-0020g,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-112000-100-0008504-0020g,Duisburg,1,1.0,51.49211,6.72748,287.471,,,,,,11961.375,,287.471,12248.846
HU.OKIR/100377441.FACILITY,HU.OKIR/100377441,Arconic-Köfém Mill Products Hungary KFT.,Hungary,2(e)(ii),47.189803,18.467243,114000.0,2017,no_match,,,,,0,,,,,,,,,,,,,
IE.CAED/W0232.FACILITY,IE.CAED/W0232,Dublin Waste to Energy Limited,Ireland,5(b),53.338968,-6.200382,674144.5,2024,spatial_nearest,0.254,IE.CAED/P0486.CPU00024,IE.CAED/P0486.CPU00024.PART,Dublin,1,1.0,53.3397,-6.204,15.37,,,,6.91,,,,22.28,22.28
SE.CAED/10020018.Facility,SE.CAED/10020018.Facility,"Lidköpings Värmeverk, Filen",Sweden,5(b),58.50765,13.17413,57427.0,2024,no_match,,,,,0,,,,,,,,,,,,,
CH.CAED/000000306.Facility,CH.CAED/000000306.Facility,ProRheno AG,Switzerland,5(f),47.5833,7.6008,24100.0,2022,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/7420.FACILITY,FR.CAED/7420,ZEPHIRE,France,5(b),43.13648,5.93276,201000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
UK.CAED/EW_EA-1470.FACILITY,UK.CAED/EW_EA-1470,Interconnector Bacton Terminal,United Kingdom,1(c),52.854025,1.4562846,129000.0,2017,spatial_nearest,0.0,UK.CAED/EW_EA-1470-1; UK.CAED/EW_EA-1470-2; UK.CAED/EW_EA-1470-3; UK.CAED/EW_EA-1470-4,UK.CAED/EW_EA-1470-1.PART,Interconnector,4,4.0,52.854025,1.4562846,1085.0,,,,,,,,1085.0,1085.0
CZ.MZP.T803/CZ99166596.FACILITY,CZ.MZP.T803/CZ99166596,Teplárna Karviná,Czechia,1(c),49.8232018,18.47851564,241446.80764011,2022,spatial_nearest,0.012,CZ.CHMI.0032/CZ0032; CZ.CHMI.0266/CZ0266,CZ.CHMI.0032/CZ0032.PART,Karviná,2,2.0,49.823094,18.478513888888887,10.834385999999999,,,2721.603931,,,42.46989,49.21637,2732.438317,2824.124577
UK.CAED/BEISOffsh-Armada.FACILITY,UK.CAED/BEISOffsh-Armada,Armada,United Kingdom,1(c),57.95743,1.84591,128000.0,2019,no_match,,,,,0,,,,,,,,,,,,,
FR.CAED/8544.FACILITY,FR.CAED/8544,VALO'MARNE,France,5(a),48.78368,2.45498,203000.0,2024,no_match,,,,,0,,,,,,,,,,,,,
UK.CAED/EW_EA-1081.FACILITY,UK.CAED/EW_EA-1081,Elean Power Station EPR/AP3130LY,United Kingdom,1(c),52.397888,0.1311985,259000.0,2019,spatial_nearest,0.0,UK.CAED/EW_EA-1081-1,UK.CAED/EW_EA-1081-1.PART,ELY,1,1.0,52.397888,0.1311985,11.1,,,,,,,3080.0,11.1,3091.1
FR.EEA/058.00316.FACILITY,FR.EEA/058.00316,AIR LIQUIDE HYDROGENE,France,4(b)(i),49.48,0.57,277000.0,2008,spatial_nearest,0.996,FR.CAED/3834,FR.CAED/3834.A.INSTALLATIONPART,NOTRE DAME DE GRAVENCHON,1,2.0,49.4884,0.56521,2943.733307,,,,34.117348,,23763.396866,,2977.850655,26741.247520999998
UK.CAED/BEISOffsh-Triton-FPSO.FACILITY,UK.CAED/BEISOffsh-Triton-FPSO,Triton (Guillemot West) FPSO,United Kingdom,1(c),57.08393,0.89245,179000.0,2019,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,Röhm GmbH,Germany,4(a)(ii),50.8341,6.97629,106000.0,2024,spatial_nearest,0.216,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362040-300-0420058-0014g,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362040-300-0420058-0014g,Wesseling,1,1.0,50.83216,6.9761,463.68,,,,33.0,,,,496.68,496.68
SE.CAED/10014262.Facility,SE.CAED/10014262.Facility,BRISTAVERKET,Sweden,1(c),59.60967,17.86174,100815.832,2024,spatial_nearest,0.016,SE.CAED/10000116.Part,SE.CAED/10000116.Part,SIGTUNA,1,1.0,59.60977,17.86194,,,,,16.56,,,1843.2,16.56,1859.76
