eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-3192067-00000000,HeidelbergCement AG Zementwerk Leimen Zementwerk Leimen,Germany,3(c),Glass,,,,no LCP data,
UK.CAED/EW_EA-558.FACILITY,Wissington Sugar Factory EPR/BX2108IQ,United Kingdom,8(b),Sugar production,1.0,4360.0,2943.0,,tech_split
NL.EEA/4001.FACILITY,Clauscentrale,Netherlands,1(c),EXCLUDE — power stations,0.0,7574.02,0.0,,tech_split
EE.KAUR.TTR/74.FACILITY,"Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti elektrijaam",Estonia,1(c),EXCLUDE — power stations,0.0,2924.7,0.0,,tech_split
CZ.MZP.T806/CZ90276630.FACILITY,"BorsodChem MCHZ, s.r.o.",Czechia,4(a)(iv),Basic organic chemicals / olefins,,,,no LCP data,
SI.ARSO/000000011.FACILITY,Alpacem Cement Anhovo,Slovenia,3(c)(i),Glass,,,,no LCP data,
NL.RIVM/000042310.FACILITY,Cosun Beet Company-Dinteloord,Netherlands,8(b)(ii),Sugar production,1.0,1906.04,1286.58,,tech_split
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0990890,thyssenkrupp Steel Europe AG Werk Kokerei Schwelgern,Germany,1(d),unmapped,,,,activity not in config,
HU.OKIR/100377441.FACILITY,Arconic-Köfém Mill Products Hungary KFT.,Hungary,2(e)(ii),Non-ferrous (primary),,,,no LCP data,
IE.CAED/W0232.FACILITY,Dublin Waste to Energy Limited,Ireland,5(b),Municipal waste incineration (WtE),1.0,22.28,18.94,,fuel_routing
SE.CAED/10020018.Facility,"Lidköpings Värmeverk, Filen",Sweden,5(b),Municipal waste incineration (WtE),,,,no LCP data,
CH.CAED/000000306.Facility,ProRheno AG,Switzerland,5(f),Waste — other,,,,no LCP data,
FR.CAED/7420.FACILITY,ZEPHIRE,France,5(b),Municipal waste incineration (WtE),,,,no LCP data,
UK.CAED/EW_EA-1470.FACILITY,Interconnector Bacton Terminal,United Kingdom,1(c),EXCLUDE — power stations,0.0,1085.0,0.0,,tech_split
CZ.MZP.T803/CZ99166596.FACILITY,Teplárna Karviná,Czechia,1(c),EXCLUDE — power stations,0.0,2732.44,0.0,,tech_split
UK.CAED/BEISOffsh-Armada.FACILITY,Armada,United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
FR.CAED/8544.FACILITY,VALO'MARNE,France,5(a),Hazardous waste disposal,,,,no LCP data,
UK.CAED/EW_EA-1081.FACILITY,Elean Power Station EPR/AP3130LY,United Kingdom,1(c),EXCLUDE — power stations,0.0,11.1,0.0,,tech_split
FR.EEA/058.00316.FACILITY,AIR LIQUIDE HYDROGENE,France,4(b)(i),Basic inorganic chemicals / fertiliser,0.75,2977.85,1590.17,,tech_split
UK.CAED/BEISOffsh-Triton-FPSO.FACILITY,Triton (Guillemot West) FPSO,United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,Röhm GmbH,Germany,4(a)(ii),Basic organic chemicals / olefins,1.0,496.68,362.58,,tech_split
SE.CAED/10014262.Facility,BRISTAVERKET,Sweden,1(c),EXCLUDE — power stations,0.0,16.56,0.0,,tech_split
IT.CAED/520162001.FACILITY,COLACEM S.P.A. - CEMENTERIA DI RASSINA,Italy,3(c),Glass,,,,no LCP data,
BE.EEA/W095.FACILITY,BIOCHIM sa,Belgium,4(a)(ii),Basic organic chemicals / olefins,,,,no LCP data,
CZ.MZP.U422/CZ34736841.FACILITY,Elektrárny Prunéřov,Czechia,1(c),EXCLUDE — power stations,0.0,35279.3,0.0,,tech_split
PL.MŚ/000000070.FACILITY,Przedsiębiorstwo Energetyki Cieplnej - Gliwice Sp. z o.o.,Poland,1(c),EXCLUDE — power stations,0.0,2162.26,0.0,,tech_split
IT.CAED/090101001.FACILITY,"Enel Produzione S.p.A. - Centrale Sulcis ""Grazia Deledda""",Italy,1(c),EXCLUDE — power stations,0.0,12065.57,0.0,,tech_split
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,TWS Thüringer Wärme Service GmbH ,Germany,1(c),EXCLUDE — power stations,0.0,1890.99,0.0,,tech_split
FR.EEA/052.01648.FACILITY,DARBO SAS,France,6(b),Wood products / panels,,,,no LCP data,
SE.CAED/10024885.Facility,LKAB - Kirunagruvan,Sweden,2(a),Metal ore roasting/sintering,,,,no LCP data,
FR.CAED/173.FACILITY,TEREOS FRANCE,France,1(c),EXCLUDE — power stations,0.0,803.23,0.0,,tech_split
CZ.MZP.U426/CZ95978240.FACILITY,Elektrárna Ledvice,Czechia,1(c),EXCLUDE — power stations,0.0,38928.6,0.0,,tech_split
RO.CAED/101CT0001.FACILITY,SC ROMPETROL ENERGY SA,Romania,1(c),EXCLUDE — power stations,0.0,216.76,0.0,,tech_split
IT.CAED/170142003.FACILITY,ITALIANA COKE SRL,Italy,1(d),unmapped,,,,activity not in config,
NL.RIVM/000115036.FACILITY,LyondellBasell Covestro Manufacturing Maasvlakte VOF,Netherlands,4(a)(ii),Basic organic chemicals / olefins,1.0,693.49,506.25,,tech_split
https://data.ied_registry.omgeving.vlaanderen.be/id/productionfacility/BE.VL.000000664.FACILITY,IVAGO - SITE PROEFTUINSTRAAT,Belgium,5(b),Municipal waste incineration (WtE),,,,no LCP data,
ES.CAED/008417000.FACILITY,IDAE SANT JOAN,Spain,1(c),EXCLUDE — power stations,0.0,1300.0,0.0,,tech_split
UK.CAED/EW_EA-754.FACILITY,Humber Oil Refinery EPR/UP3230LR,United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
FR.CAED/2190.FACILITY,SOTRAVAL-SPL,France,5(b),Municipal waste incineration (WtE),,,,no LCP data,
FR.CAED/7652.FACILITY,IMERYS ALUMINATES,France,3(c)(iii),Glass,0.95,223.53,114.25,,tech_split
UK.LAED/E375_434.FACILITY,EGGER (UK) LIMITED,United Kingdom,6(b),Wood products / panels,,,,no LCP data,
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34033281-00000000,TREA Breisgau ,Germany,5(b),Municipal waste incineration (WtE),,,,no LCP data,
AT.EEA/20000.00272.FACILITY,Energie AG Oberösterreich Erzeugung GmbH,Austria,1(c),EXCLUDE — power stations,,,,no LCP data,
DK.EEA/1533.FACILITY,"DONG ENERGY THERMAL POWER A/S, Stignæsværket",Denmark,1(c),EXCLUDE — power stations,,,,no LCP data,
