source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,co2_year,match_method
PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,Poland,3(c),50.806941986084,20.5222225189209,735000.0,2024,id_direct
FR.CAED/10790.FACILITY,VERSALIS FRANCE S.A.S.,France,4(a)(i),51.03032,2.2455,522000.0,2024,id_direct
ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,Spain,6(b),41.546601,-0.678377,626000.0,2024,id_direct
FR.CAED/7624.FACILITY,KEM ONE,France,4(a)(vi),43.45583,4.93172,116000.0,2024,id_direct
IT.CAED/441221002.FACILITY,YARA ITALIA SPA - STABILIMENTO DI FERRARA,Italy,4(b),44.856,11.5921,461483.0,2024,id_direct
ES.CAED/001482000.FACILITY,REFINERÍA LA RÁBIDA,Spain,1(a),37.184329,-6.894507,1460000.0,2024,id_direct
FR.CAED/3437.FACILITY,CRISTAL UNION,France,8(b)(ii),49.35335,4.15622,217000.0,2024,id_direct
FR.CAED/7658.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,1(a),43.38846,5.15267,217000.0,2024,id_direct
ES.CAED/003701000.FACILITY,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",Spain,1(a),43.325743,-3.110944,2120000.0,2024,id_direct
IT.CAED/850122001.FACILITY,CENTRO OLI TEMPA ROSSA,Italy,3(a),40.4101,16.0871,208173.0,2024,id_direct
IT.CAED/960101005.FACILITY,Raffineria ISAB Impianti NORD,Italy,1(a),37.1791,15.1825,467464.0,2024,id_direct
FR.CAED/12675.FACILITY,TEREOS FRANCE,France,8(b)(ii),48.08478,1.88246,111000.0,2024,id_direct
IT.CAED/850592002.FACILITY,Centro Olio Val d'Agri,Italy,3(a),40.3136,15.8972,626924.6964,2024,id_direct
FR.CAED/3814.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,1(a),49.51034,0.22592,1795000.064,2024,id_direct
PL.MŚ/000000108.FACILITY,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,Poland,4(c),50.303394317627,18.2594203948975,612000.0,2024,id_direct
ES.CAED/001528000.FACILITY,REPSOL PETROLEO S.A.,Spain,1(a),38.672,-4.0497,1300000.0,2024,id_direct
FR.CAED/10838.FACILITY,SUCRERIES DISTILLERIES HAUTS DE FRANCE,France,8(b)(ii),50.55963,2.49065,108000.0,2024,id_direct
