dataset,band_code,band_label,unit,tax,currency,geo,period,year,half,price_EUR_kWh_GCV,retrieved_date
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AL,2021-S2,2021,S2,0.0,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AL,2022-S1,2022,S1,0.0,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2009-S1,2009,S1,0.0337,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2009-S2,2009,S2,0.0326,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2010-S1,2010,S1,0.0351,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2010-S2,2010,S2,0.0352,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2011-S1,2011,S1,0.0347,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2011-S2,2011,S2,0.037,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2012-S1,2012,S1,0.0434,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2012-S2,2012,S2,0.0434,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2013-S1,2013,S1,0.0437,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2013-S2,2013,S2,0.0428,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2014-S1,2014,S1,0.0427,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2014-S2,2014,S2,0.0401,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2015-S1,2015,S1,0.0396,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2015-S2,2015,S2,0.0378,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2016-S1,2016,S1,0.0358,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2016-S2,2016,S2,0.0341,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2017-S1,2017,S1,0.0336,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2017-S2,2017,S2,0.0332,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2018-S1,2018,S1,0.0324,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2018-S2,2018,S2,0.034,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2019-S1,2019,S1,0.0327,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2019-S2,2019,S2,0.031,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2020-S1,2020,S1,0.0304,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2020-S2,2020,S2,0.0299,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2021-S1,2021,S1,0.0312,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2021-S2,2021,S2,0.0476,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2022-S1,2022,S1,0.0642,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2022-S2,2022,S2,0.0842,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2023-S1,2023,S1,0.0784,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2023-S2,2023,S2,0.0613,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2024-S1,2024,S1,0.0516,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2024-S2,2024,S2,0.063,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2025-S1,2025,S1,0.0695,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2025-S2,2025,S2,0.0641,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2010-S1,2010,S1,0.042,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2010-S2,2010,S2,0.0474,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2011-S1,2011,S1,0.0479,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2011-S2,2011,S2,0.0545,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2012-S1,2012,S1,0.0566,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2012-S2,2012,S2,0.0566,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2013-S1,2013,S1,0.0566,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2013-S2,2013,S2,0.0531,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2014-S1,2014,S1,0.0531,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2014-S2,2014,S2,0.0531,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2015-S1,2015,S1,0.0532,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2015-S2,2015,S2,0.0532,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2016-S1,2016,S1,0.0425,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2016-S2,2016,S2,0.0379,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2017-S1,2017,S1,0.0343,2026-05-28
nrg_pc_203,I3,GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2017-S2,2017,S2,0.0358,2026-05-28
