eprtr_facility_id,country,pathway,offgrid_lcoh,grid_lcoh,ratio,flag
PL.MŚ/000000232.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000108.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000138.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000221.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000197.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000278.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000212.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000136.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000053.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000273.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000058.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000072.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000023.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000309.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000067.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000063.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000062.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000190.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
PL.MŚ/000000215.FACILITY,Poland,heat_battery,44.74,234.54,0.191,[OFFGRID_CHEAPER_THAN_GRID_UNEXPECTED]
