eprtr_facility_id,eprtr_facility_name,eprtr_country,iso3_country,analysis_year,eprtr_activity,eprtr_lat,eprtr_lon,process_heat_temp_band,process_heat_temp_C,temp_provenance,pathways_evaluated,pathways_excluded,annual_heat_demand_MWh_th,annual_heat_demand_provenance,natural_gas_fuel_energy_MWh,lcp_total_TJ,lcoh_heat_pump_EUR_MWhth,lcoh_heat_battery_EUR_MWhth,lcoh_natural_gas_EUR_MWhth,least_cost_pathway,delta_vs_gas_hp_EUR_MWhth,delta_vs_gas_hb_EUR_MWhth,elec_price_hp_EUR_MWh,elec_price_hb_EUR_MWh,bnef_data_source,bnef_year_used,gas_price_used_EUR_MWh,lcoh_confidence,assumptions_used,verification_status,flags
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-3192067-00000000,HeidelbergCement AG Zementwerk Leimen Zementwerk Leimen,Germany,DEU,2022,3(c),49.35766,8.68583,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
UK.CAED/EW_EA-558.FACILITY,Wissington Sugar Factory EPR/BX2108IQ,United Kingdom,GBR,2019,8(b),52.551275,0.45208327,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,4360.0,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
NL.EEA/4001.FACILITY,Clauscentrale,Netherlands,NLD,2014,1(c),51.15446,5.90718,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,7574.01822,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
EE.KAUR.TTR/74.FACILITY,"Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti Elektrijaam
    Enefit Power AS, Balti elektrijaam",Estonia,EST,2024,1(c),59.3529644401,28.1258147762,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,3712.7,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
CZ.MZP.T806/CZ90276630.FACILITY,"BorsodChem MCHZ, s.r.o.",Czechia,CZE,2022,4(a)(iv),49.83498533,18.23310059,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
SI.ARSO/000000011.FACILITY,Alpacem Cement Anhovo,Slovenia,SVN,2024,3(c)(i),46.06865,13.628036,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
NL.RIVM/000042310.FACILITY,Cosun Beet Company-Dinteloord,Netherlands,NLD,2024,8(b)(ii),51.61818,4.43437,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,1966.144071,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0990890,thyssenkrupp Steel Europe AG Werk Kokerei Schwelgern,Germany,DEU,2024,1(d),51.50099,6.72887,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,12248.846,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
HU.OKIR/100377441.FACILITY,Arconic-Köfém Mill Products Hungary KFT.,Hungary,HUN,2017,2(e)(ii),47.189803,18.467243,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
IE.CAED/W0232.FACILITY,Dublin Waste to Energy Limited,Ireland,IRL,2024,5(b),53.338968,-6.200382,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,22.28,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
SE.CAED/10020018.Facility,"Lidköpings Värmeverk, Filen",Sweden,SWE,2024,5(b),58.50765,13.17413,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
CH.CAED/000000306.Facility,ProRheno AG,Switzerland,CHE,2022,5(f),47.5833,7.6008,,,,,ALL|OUT_OF_SCOPE,,SKIPPED_NOT_IN_SCOPE,,,,,,,,,,,,,,NOT_COMPUTED,,SKIPPED_NOT_IN_SCOPE,NOT_ID_DIRECT_OR_NOT_2024
