eprtr_facility_id,country,geo_code,energy_type,analysis_year,price_used_EUR_MWh,year_of_price_data,source_dataset,band,tax,unit,retrieval_date,source_url,flag
PL.MŚ/000000232.FACILITY,Poland,POL,off_grid_electricity_hb,2024,38.332,2025,BNEF (PV fixed-axis only — no BESS; heat battery provides storage),PV fixed-axis,n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
PL.MŚ/000000232.FACILITY,Poland,POL,off_grid_electricity_hp,2024,139.78,2025,BNEF (PV fixed-axis + Utility-scale battery 4h),PV fixed-axis + Utility-scale battery (4h),n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
PL.MŚ/000000232.FACILITY,Poland,PL,natural_gas,2024,81.015,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-29,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.CAED/10790.FACILITY,France,FRA,off_grid_electricity_hb,2024,39.096,2025,BNEF (PV fixed-axis only — no BESS; heat battery provides storage),PV fixed-axis,n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
FR.CAED/10790.FACILITY,France,FRA,off_grid_electricity_hp,2024,140.545,2025,BNEF (PV fixed-axis + Utility-scale battery 4h),PV fixed-axis + Utility-scale battery (4h),n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
FR.CAED/10790.FACILITY,France,FR,natural_gas,2024,76.743,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-29,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
ES.CAED/002762000.FACILITY,Spain,ESP,off_grid_electricity_hb,2024,31.314,2025,BNEF (PV fixed-axis only — no BESS; heat battery provides storage),PV fixed-axis,n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
ES.CAED/002762000.FACILITY,Spain,ESP,off_grid_electricity_hp,2024,132.762,2025,BNEF (PV fixed-axis + Utility-scale battery 4h),PV fixed-axis + Utility-scale battery (4h),n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
ES.CAED/002762000.FACILITY,Spain,ES,natural_gas,2024,52.715,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-29,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
FR.CAED/7624.FACILITY,France,FRA,off_grid_electricity_hb,2024,39.096,2025,BNEF (PV fixed-axis only — no BESS; heat battery provides storage),PV fixed-axis,n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
FR.CAED/7624.FACILITY,France,FRA,off_grid_electricity_hp,2024,140.545,2025,BNEF (PV fixed-axis + Utility-scale battery 4h),PV fixed-axis + Utility-scale battery (4h),n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
FR.CAED/7624.FACILITY,France,FR,natural_gas,2024,76.743,2024,Eurostat nrg_pc_203,I3 (GJ10000-99999),X_VAT,KWH_GCV→LHV,2026-05-29,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_203,OK
IT.CAED/441221002.FACILITY,Italy,ITA,off_grid_electricity_hb,2024,33.128,2025,BNEF (PV fixed-axis only — no BESS; heat battery provides storage),PV fixed-axis,n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
IT.CAED/441221002.FACILITY,Italy,ITA,off_grid_electricity_hp,2024,134.577,2025,BNEF (PV fixed-axis + Utility-scale battery 4h),PV fixed-axis + Utility-scale battery (4h),n/a,USD/MWh→EUR/MWh (A13),2026-05-29,inputs/bnef_country_costs.csv,[PRICE_YEAR_PROXIED_TO_2025]
