run_type,source_id,source_name,country,iso3_country,eprtr_activity,latitude,longitude,annual_heat_demand_MWh_th,heat_demand_provenance,pvgis_year,pvgis_annual_cf,pvgis_kwh_per_kwp,bnef_annual_cost_usd_kw_yr,bnef_data_source,site_pv_lcoe_eur_mwh,bnef_country_lcoe_eur_mwh,lcoe_delta_eur_mwh,lcoh_hb_site_specific_eur_mwhth,lcoh_hb_bnef_eur_mwhth,lcoh_hb_delta_eur_mwhth,lcoh_gas_eur_mwhth,lcoh_hb_vs_gas_delta_eur_mwhth,electricity_needed_mwh_yr,solar_capacity_needed_mwp,land_needed_km2,suitable_land_km2,land_feasibility,land_surplus_deficit_km2,computation_status,notes
offgrid_bnef_pv,PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,Poland,POL,3(c),50.806941986084,20.5222225189209,8533.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.137793,1207.07,54.68,proxied,41.721,38.332,3.389,48.509,44.744,3.765,104.661,-56.152,9481.5,7.855,0.7855,36.0434,FEASIBLE,35.26,COMPUTED,
offgrid_bnef_pv,FR.CAED/10790.FACILITY,VERSALIS FRANCE S.A.S.,France,FRA,4(a)(i),51.03032,2.2455,330602.13,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.147506,1292.15,42.22,bnef,30.093,39.096,-9.003,35.589,45.593,-10.004,99.913,-64.324,367335.7,284.282,28.4282,92.9684,FEASIBLE,64.54,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,Spain,ESP,6(b),41.546601,-0.678377,1136283.56,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.225988,1979.66,49.78,bnef,23.159,31.314,-8.155,27.885,36.946,-9.061,73.216,-45.331,1262537.3,637.756,63.7756,109.9292,FEASIBLE,46.15,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/7624.FACILITY,KEM ONE,France,FRA,4(a)(vi),43.45583,4.93172,143978.08,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.219574,1923.46,42.22,bnef,20.216,39.096,-18.88,24.615,45.593,-20.978,99.913,-75.298,159975.6,83.17,8.317,45.9613,FEASIBLE,37.64,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,IT.CAED/441221002.FACILITY,YARA ITALIA SPA - STABILIMENTO DI FERRARA,Italy,ITA,4(b),44.856,11.5921,289961.11,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.187633,1643.67,47.52,bnef,26.627,33.128,-6.501,31.738,38.962,-7.224,83.636,-51.898,322179.0,196.013,19.6013,238.1149,FEASIBLE,218.51,COMPUTED,
offgrid_bnef_pv,ES.CAED/001482000.FACILITY,REFINERÍA LA RÁBIDA,Spain,ESP,1(a),37.184329,-6.894507,3154384.19,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.232161,2033.73,49.78,bnef,22.543,31.314,-8.771,27.201,36.946,-9.745,73.216,-46.015,3504871.3,1723.371,172.3371,62.1466,INFEASIBLE,-110.19,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/3437.FACILITY,CRISTAL UNION,France,FRA,8(b)(ii),49.35335,4.15622,635777.18,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.146279,1281.4,42.22,bnef,30.345,39.096,-8.751,35.87,45.593,-9.723,99.913,-64.043,706419.1,551.285,55.1285,266.4086,FEASIBLE,211.28,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/7658.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,FRA,1(a),43.38846,5.15267,704648.34,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,2023,0.220799,1934.2,42.22,bnef,20.104,39.096,-18.992,24.49,45.593,-21.103,99.913,-75.423,782942.6,404.789,40.4789,24.0593,INFEASIBLE,-16.42,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,ES.CAED/003701000.FACILITY,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",Spain,ESP,1(a),43.325743,-3.110944,905883.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.173321,1518.29,49.78,bnef,30.197,31.314,-1.117,35.704,36.946,-1.242,73.216,-37.512,1006537.0,662.94,66.294,9.0944,INFEASIBLE,-57.2,COMPUTED,
offgrid_bnef_pv,IT.CAED/850122001.FACILITY,CENTRO OLI TEMPA ROSSA,Italy,ITA,3(a),40.4101,16.0871,560340.35,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,2023,0.196501,1721.35,47.52,bnef,25.425,33.128,-7.703,30.403,38.962,-8.559,83.636,-53.233,622600.4,361.693,36.1693,9.2408,INFEASIBLE,-26.93,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
