source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,annual_heat_demand_MWh_th,heat_demand_provenance,buffer_m,total_buffer_area_km2,masked_area_km2,mask_coverage_pct,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2,suitable_land_km2,suitable_pct_of_buffer,suitable_classes_used,data_source
PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,Poland,3(c),50.806941986084,20.5222225189209,735000.0,17777.78,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,69.3592,22.1,18.59,0.0,25.4362,8.4437,14.2773,2.1635,0.0,0.4297,0.0188,0.0,0.0,36.0434,11.5,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/10790.FACILITY,VERSALIS FRANCE S.A.S.,France,4(a)(i),51.03032,2.2455,522000.0,413252.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,182.9554,58.2,15.7323,0.0017,31.1241,59.1152,43.8866,2.7274,0.0,29.5252,0.8429,0.0,0.0,92.9684,29.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,Spain,6(b),41.546601,-0.678377,626000.0,1420354.44,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,128.4549,40.9,9.9911,2.2496,44.9322,56.6905,7.7876,6.0569,0.0,0.747,0.0,0.0,0.0,109.9292,35.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7624.FACILITY,KEM ONE,France,4(a)(vi),43.45583,4.93172,116000.0,179972.6,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,189.6403,60.4,13.4057,11.812,28.2107,1.7551,41.7716,4.1835,0.0,81.8226,6.6792,0.0,0.0,45.9613,14.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/441221002.FACILITY,YARA ITALIA SPA - STABILIMENTO DI FERRARA,Italy,4(b),44.856,11.5921,461483.0,353611.11,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,288.6244,91.9,15.5042,0.0,55.5506,182.3287,33.5598,0.2356,0.0,1.1439,0.3017,0.0,0.0,238.1149,75.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/001482000.FACILITY,REFINERÍA LA RÁBIDA,Spain,1(a),37.184329,-6.894507,1460000.0,4044082.3,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,142.6085,45.4,12.9685,5.1693,32.0128,18.4687,20.8706,6.4957,0.0,45.415,1.2078,0.0,0.0,62.1466,19.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/3437.FACILITY,CRISTAL UNION,France,8(b)(ii),49.35335,4.15622,217000.0,747973.16,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,301.2103,95.9,24.5919,0.0,11.2401,255.0934,10.1488,0.0752,0.0,0.061,0.0,0.0,0.0,266.4086,84.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7658.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,1(a),43.38846,5.15267,217000.0,813055.78,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,10000,314.16,150.2106,47.8,10.4004,6.1935,14.4245,2.274,35.967,1.1673,0.0,79.546,0.2378,0.0,0.0,24.0593,7.7,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/003701000.FACILITY,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",Spain,1(a),43.325743,-3.110944,2120000.0,1161388.89,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,119.5463,38.1,8.6563,0.0137,8.3009,0.1308,16.7983,0.649,0.0,84.9948,0.0026,0.0,0.0,9.0944,2.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/850122001.FACILITY,CENTRO OLI TEMPA ROSSA,Italy,3(a),40.4101,16.0871,208173.0,672408.42,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,10000,314.16,14.5356,4.6,4.8207,0.529,4.0699,2.9845,0.463,1.6574,0.0,0.011,0.0,0.0,0.0,9.2408,2.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
