dataset,band,unit,tax,currency,geo,period,price_EUR_kWh,retrieved_date
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2019-S1,0.104,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2020-S1,0.1037,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2020-S2,0.1036,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2021-S1,0.1039,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2021-S2,0.1053,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2022-S1,0.1057,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2022-S2,0.1097,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2023-S1,0.1135,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2023-S2,0.1223,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2024-S1,0.1252,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2024-S2,0.1292,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2025-S1,0.142,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AL,2025-S2,0.1321,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2019-S1,0.1076,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2019-S2,0.1088,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2020-S1,0.1191,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2020-S2,0.1184,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2021-S1,0.1228,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2021-S2,0.1278,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2022-S1,0.1617,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2022-S2,0.1786,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2023-S1,0.2597,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2023-S2,0.2471,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2024-S1,0.1987,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2024-S2,0.2006,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2025-S1,0.2029,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,AT,2025-S2,0.1986,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2019-S1,0.0667,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2019-S2,0.0698,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2020-S1,0.0734,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2020-S2,0.073,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2021-S1,0.0747,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2021-S2,0.0723,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2022-S1,0.0741,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2022-S2,0.0893,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2023-S1,0.091,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2023-S2,0.0903,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2024-S1,0.0956,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2024-S2,0.0952,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2025-S1,0.1101,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BA,2025-S2,0.1126,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2019-S1,0.115,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2019-S2,0.1152,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2020-S1,0.1171,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2020-S2,0.1185,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2021-S1,0.1218,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2021-S2,0.1439,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2022-S1,0.1943,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2022-S2,0.2367,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2023-S1,0.2269,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2023-S2,0.2164,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2024-S1,0.178,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2024-S2,0.1815,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2025-S1,0.194,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BE,2025-S2,0.1866,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2019-S1,0.0887,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2019-S2,0.0868,2026-05-28
nrg_pc_205,IC_MWH500-1999,KWH,X_VAT,EUR,BG,2020-S1,0.0816,2026-05-28
