dataset,band_code,band_label,unit,tax,currency,geo,period,year,half,price_EUR_kWh,retrieved_date
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2019-S1,2019,S1,0.104,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2020-S1,2020,S1,0.1037,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2020-S2,2020,S2,0.1036,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2021-S1,2021,S1,0.1039,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2021-S2,2021,S2,0.1053,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2022-S1,2022,S1,0.1057,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2022-S2,2022,S2,0.1097,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2023-S1,2023,S1,0.1135,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2023-S2,2023,S2,0.1223,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2024-S1,2024,S1,0.1252,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2024-S2,2024,S2,0.1292,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2025-S1,2025,S1,0.142,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AL,2025-S2,2025,S2,0.1321,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2007-S2,2007,S2,0.094,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2008-S1,2008,S1,0.1064,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2008-S2,2008,S2,0.1072,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2009-S1,2009,S1,0.1184,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2009-S2,2009,S2,0.1162,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2010-S1,2010,S1,0.1127,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2010-S2,2010,S2,0.1128,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2011-S1,2011,S1,0.1126,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2011-S2,2011,S2,0.1128,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2012-S1,2012,S1,0.1102,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2012-S2,2012,S2,0.1116,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2013-S1,2013,S1,0.1114,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2013-S2,2013,S2,0.1108,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2014-S1,2014,S1,0.1089,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2014-S2,2014,S2,0.1055,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2015-S1,2015,S1,0.1039,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2015-S2,2015,S2,0.1047,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2016-S1,2016,S1,0.1026,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2016-S2,2016,S2,0.1004,2026-05-28
nrg_pc_205,IC,MWH500-1999,KWH,X_VAT,EUR,AT,2017-S1,2017,S1,0.093,2026-05-28
