dataset,band_code,band_label,unit,tax,currency,geo,period,year,half,price_EUR_kWh,retrieved_date
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2019-S1,2019,S1,0.104,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2020-S1,2020,S1,0.1037,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2020-S2,2020,S2,0.1036,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2021-S1,2021,S1,0.1039,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2021-S2,2021,S2,0.1053,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2022-S1,2022,S1,0.1057,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2022-S2,2022,S2,0.1097,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2023-S1,2023,S1,0.1135,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2023-S2,2023,S2,0.1223,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2024-S1,2024,S1,0.1252,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2024-S2,2024,S2,0.1292,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2025-S1,2025,S1,0.142,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AL,2025-S2,2025,S2,0.1321,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2007-S2,2007,S2,0.0812,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2008-S1,2008,S1,0.0926,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2008-S2,2008,S2,0.0965,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2009-S1,2009,S1,0.1086,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2009-S2,2009,S2,0.1081,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2010-S1,2010,S1,0.1032,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2010-S2,2010,S2,0.1032,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2011-S1,2011,S1,0.1012,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2011-S2,2011,S2,0.1014,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2012-S1,2012,S1,0.0983,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2012-S2,2012,S2,0.0985,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2013-S1,2013,S1,0.0984,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2013-S2,2013,S2,0.098,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2014-S1,2014,S1,0.096,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2014-S2,2014,S2,0.0937,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2015-S1,2015,S1,0.0897,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2015-S2,2015,S2,0.0909,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2016-S1,2016,S1,0.0857,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2016-S2,2016,S2,0.0795,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2017-S1,2017,S1,0.0814,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2017-S2,2017,S2,0.0843,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2018-S1,2018,S1,0.0846,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2018-S2,2018,S2,0.0884,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2019-S1,2019,S1,0.0948,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2019-S2,2019,S2,0.0958,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2020-S1,2020,S1,0.0964,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2020-S2,2020,S2,0.1032,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2021-S1,2021,S1,0.1079,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2021-S2,2021,S2,0.1195,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2022-S1,2022,S1,0.174,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2022-S2,2022,S2,0.1944,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2023-S1,2023,S1,0.2323,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2023-S2,2023,S2,0.2219,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2024-S1,2024,S1,0.1722,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2024-S2,2024,S2,0.179,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2025-S1,2025,S1,0.1803,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,AT,2025-S2,2025,S2,0.1799,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2012-S1,2012,S1,0.066,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2012-S2,2012,S2,0.0663,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2013-S1,2013,S1,0.0647,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2013-S2,2013,S2,0.0657,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2014-S1,2014,S1,0.0665,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2014-S2,2014,S2,0.0655,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2015-S1,2015,S1,0.0652,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2015-S2,2015,S2,0.0648,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2016-S1,2016,S1,0.0628,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2016-S2,2016,S2,0.0607,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2017-S1,2017,S1,0.059,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2017-S2,2017,S2,0.0602,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2018-S1,2018,S1,0.0618,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2018-S2,2018,S2,0.0624,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2019-S1,2019,S1,0.0659,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2019-S2,2019,S2,0.0679,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2020-S1,2020,S1,0.07,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2020-S2,2020,S2,0.0701,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2021-S1,2021,S1,0.0685,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2021-S2,2021,S2,0.0696,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2022-S1,2022,S1,0.0764,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2022-S2,2022,S2,0.0823,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2023-S1,2023,S1,0.0942,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2023-S2,2023,S2,0.0914,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2024-S1,2024,S1,0.0976,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2024-S2,2024,S2,0.0977,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2025-S1,2025,S1,0.1044,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BA,2025-S2,2025,S2,0.1064,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2007-S2,2007,S2,0.0841,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2008-S1,2008,S1,0.0934,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2008-S2,2008,S2,0.0962,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2009-S1,2009,S1,0.1009,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2009-S2,2009,S2,0.0988,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2010-S1,2010,S1,0.0941,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2010-S2,2010,S2,0.0939,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2011-S1,2011,S1,0.0971,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2011-S2,2011,S2,0.102,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2012-S1,2012,S1,0.1,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2012-S2,2012,S2,0.097,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2013-S1,2013,S1,0.0932,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2013-S2,2013,S2,0.1,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2014-S1,2014,S1,0.0958,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2014-S2,2014,S2,0.0973,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2015-S1,2015,S1,0.0956,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2015-S2,2015,S2,0.0972,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2016-S1,2016,S1,0.0947,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2016-S2,2016,S2,0.0979,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2017-S1,2017,S1,0.0915,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2017-S2,2017,S2,0.091,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2018-S1,2018,S1,0.0888,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2018-S2,2018,S2,0.0954,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2019-S1,2019,S1,0.0988,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2019-S2,2019,S2,0.0989,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2020-S1,2020,S1,0.0988,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2020-S2,2020,S2,0.0995,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2021-S1,2021,S1,0.101,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2021-S2,2021,S2,0.1161,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2022-S1,2022,S1,0.1596,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2022-S2,2022,S2,0.1975,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2023-S1,2023,S1,0.2193,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2023-S2,2023,S2,0.2088,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2024-S1,2024,S1,0.1622,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2024-S2,2024,S2,0.1608,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2025-S1,2025,S1,0.1659,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BE,2025-S2,2025,S2,0.1571,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2007-S2,2007,S2,0.0506,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2008-S1,2008,S1,0.0496,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2008-S2,2008,S2,0.0593,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2009-S1,2009,S1,0.0598,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2009-S2,2009,S2,0.0583,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2010-S1,2010,S1,0.0578,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2010-S2,2010,S2,0.0598,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2011-S1,2011,S1,0.0584,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2011-S2,2011,S2,0.0593,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2012-S1,2012,S1,0.0634,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2012-S2,2012,S2,0.0698,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2013-S1,2013,S1,0.0701,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2013-S2,2013,S2,0.063,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2014-S1,2014,S1,0.0679,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2014-S2,2014,S2,0.0681,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2015-S1,2015,S1,0.062,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2015-S2,2015,S2,0.07,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2016-S1,2016,S1,0.0764,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2016-S2,2016,S2,0.0701,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2017-S1,2017,S1,0.0681,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2017-S2,2017,S2,0.0705,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2018-S1,2018,S1,0.0746,2026-05-28
nrg_pc_205,ID,MWH2000-19999,KWH,X_VAT,EUR,BG,2018-S2,2018,S2,0.0766,2026-05-28
