dataset,band,unit,tax,currency,geo,period,price_EUR_kWh_GCV,retrieved_date
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AL,2021-S2,0.0,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AL,2022-S1,0.0,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2019-S1,0.0327,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2019-S2,0.031,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2020-S1,0.0304,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2020-S2,0.0299,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2021-S1,0.0312,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2021-S2,0.0476,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2022-S1,0.0642,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2022-S2,0.0842,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2023-S1,0.0784,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2023-S2,0.0613,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2024-S1,0.0516,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2024-S2,0.063,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2025-S1,0.0695,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,AT,2025-S2,0.0641,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2019-S1,0.0367,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2019-S2,0.0372,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2020-S1,0.0397,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2020-S2,0.0375,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2021-S1,0.0354,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2021-S2,0.0387,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2022-S1,0.0456,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2022-S2,0.0635,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2023-S1,0.0579,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2023-S2,0.0517,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2024-S1,0.0532,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2024-S2,0.0523,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2025-S1,0.0529,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BA,2025-S2,0.0532,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2019-S1,0.024,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2019-S2,0.0228,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2020-S1,0.0209,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2020-S2,0.0207,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2021-S1,0.0221,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2021-S2,0.034,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2022-S1,0.0488,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2022-S2,0.0636,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2023-S1,0.0624,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2023-S2,0.0539,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2024-S1,0.0467,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2024-S2,0.0513,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2025-S1,0.0505,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BE,2025-S2,0.0481,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2019-S1,0.0308,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2019-S2,0.0279,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2020-S1,0.0231,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2020-S2,0.0202,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2021-S1,0.0248,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2021-S2,0.0508,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2022-S1,0.06,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2022-S2,0.1182,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2023-S1,0.0653,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2023-S2,0.046,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2024-S1,0.0418,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2024-S2,0.0431,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2025-S1,0.0491,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,BG,2025-S2,0.0414,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2019-S1,0.0293,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2019-S2,0.0286,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2020-S1,0.0254,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2020-S2,0.0252,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2021-S1,0.0251,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2021-S2,0.0328,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2022-S1,0.068,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2022-S2,0.0822,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2023-S1,0.0769,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2023-S2,0.0696,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2024-S1,0.0638,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2024-S2,0.0643,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2025-S1,0.0594,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,CZ,2025-S2,0.0568,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2019-S1,0.0318,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2019-S2,0.03,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2020-S1,0.0289,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2020-S2,0.0289,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2021-S1,0.0319,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2021-S2,0.0379,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2022-S1,0.0533,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2022-S2,0.0613,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2023-S1,0.0808,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2023-S2,0.0742,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2024-S1,0.0678,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2024-S2,0.0713,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2025-S1,0.0723,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DE,2025-S2,0.0713,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2019-S1,0.0337,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2019-S2,0.0302,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2020-S1,0.0262,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2020-S2,0.0295,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2021-S1,0.0339,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2021-S2,0.0792,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2022-S1,0.1062,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2022-S2,0.1378,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2023-S1,0.0671,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2023-S2,0.0582,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2024-S1,0.051,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2024-S2,0.0645,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2025-S1,0.0713,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,DK,2025-S2,0.0632,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2019-S1,0.0337,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2019-S2,0.031,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2020-S1,0.0307,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2020-S2,0.0284,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2021-S1,0.0308,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2021-S2,0.0413,2026-05-28
nrg_pc_203,I3_GJ10000-99999,KWH_GCV,X_VAT,EUR,EA,2022-S1,0.0642,2026-05-28
