eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
DK.CAED/000067430.FACILITY,a. h. nichro HAARDCHROM A/S,Denmark,DNK,2022,high,32365.0,natural_gas,heat_battery,natural_gas → heat_battery,169.572,44.744,-124.828,169.572,169.572,218.097,44.744,,,194.35,38.332,139.78,135.396
DK.CAED/000114122.FACILITY,"Hovedcentralen, varmeværk",Denmark,DNK,2022,mid,8619.44,natural_gas,heat_battery,natural_gas → heat_battery,169.572,44.744,-124.828,169.572,169.572,218.097,44.744,,,194.35,38.332,139.78,135.396
DK.CAED/000097307.FACILITY,Hillerød Kraftvarmeværk ,Denmark,DNK,2022,mid,51075.0,natural_gas,heat_battery,natural_gas → heat_battery,169.572,44.744,-124.828,169.572,169.572,218.097,44.744,,,194.35,38.332,139.78,135.396
DK.CAED/000096764.FACILITY,"I/S Vestforbrænding, Glostrup",Denmark,DNK,2022,high,21174.44,natural_gas,heat_battery,natural_gas → heat_battery,169.572,44.744,-124.828,169.572,169.572,218.097,44.744,,,194.35,38.332,139.78,135.396
LT.CAED/156667399.FACILITY,"AB ""Achema""",Lithuania,LTU,2022,mid,10344444.45,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
LT.CAED/302648707.FACILITY2," ,,Lietuvos energijos gamyba“ AB, Elektrėnų elektrinė",Lithuania,LTU,2022,mid,1530558.33,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
LT.CAED/118188317.FACILITY1,"UAB ,,Litesko“ filialo „Alytaus energija“, Alytus district boiler",Lithuania,LTU,2022,mid,58627.78,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
LT.CAED/111760831.FACILITY1,"AB ,,Vilniaus šilumos tinklai“, Termofikacinė elektrinė Nr.2 (E-2)",Lithuania,LTU,2022,mid,2385566.67,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
LT.CAED/147248313.FACILITY2,"AB ""Panevėžio energija"", Panevėžio RK-1 (Pušaloto rajoninė katilinė)",Lithuania,LTU,2022,mid,16.67,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
LT.CAED/110012450.FACILITY,UAB „Grigeo Tissue“,Lithuania,LTU,2022,high,40277.78,natural_gas,heat_battery,natural_gas → heat_battery,158.782,44.744,-114.03800000000001,158.782,158.782,285.486,44.744,,,255.0,38.332,139.78,125.685
