eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
UK.CAED/EW_EA-1433.FACILITY,Immingham CHP Power Station EPR/BJ8022IZ,United Kingdom,GBR,2019,mid,30703333.34,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
UK.CAED/EW_EA-10358.FACILITY,Staythorpe C Power Station EPR/VP3538XX,United Kingdom,GBR,2019,mid,16638888.89,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
BG.CAED/013001002.FACILITY,Maritsa East 2 power station,Bulgaria,BGR,2017,mid,14074444.45,natural_gas,natural_gas,same,31.451,31.451,0.0,31.451,31.451,88.43,46.197,,,77.65,39.64,95.784,26.136
UK.CAED/EW_EA-2363.FACILITY,Saltend Cogeneration Plant EPR/QP3539LE,United Kingdom,GBR,2019,mid,13390741.67,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
UK.CAED/EW_EA-17044.FACILITY,West Burton CCGT Power Station EPR/CP3035MK,United Kingdom,GBR,2019,mid,12861111.11,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
UK.CAED/EW_EA-1023.FACILITY,Grain Power Station EPR/EP3533RY,United Kingdom,GBR,2019,mid,12126333.33,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
UK.CAED/EW_EA-3999.FACILITY,Didcot B Power Station EPR/YP3930LZ,United Kingdom,GBR,2019,mid,11771361.11,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100064,Ravapor GmbH ,Germany,DEU,2017,mid,11332569.45,natural_gas,natural_gas,same,40.885,40.885,0.0,40.885,40.885,170.653,47.885,,,151.65,41.159,143.427,34.626
UK.CAED/EW_EA-1362.FACILITY,South Humber Bank Power Station EPR/MP3235LY,United Kingdom,GBR,2019,mid,9769444.45,natural_gas,natural_gas,same,40.822,40.822,0.0,40.822,40.822,173.208,54.322,,,153.95,46.953,147.581,30.63
UK.CAED/EW_EA-2531.FACILITY,Spalding Power Station EPR/BK0701IW,United Kingdom,GBR,2017,mid,9342222.22,natural_gas,natural_gas,same,31.698,31.698,0.0,31.698,31.698,141.597,54.322,,,125.5,46.953,147.581,26.358
