eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
DK.CAED/000067430.FACILITY,a. h. nichro HAARDCHROM A/S,Denmark,DNK,2022,2(f),high,32365.0,spatial_nearest,natural_gas,heat_battery,169.572,218.097,44.744,124.828,194.35,38.332,5.070176353960138,135.396,proxied,55.62103180966257,12.46438215183356
DK.CAED/000114122.FACILITY,"Hovedcentralen, varmeværk",Denmark,DNK,2022,,mid,8619.44,spatial_nearest,natural_gas,heat_battery,169.572,218.097,44.744,124.828,194.35,38.332,5.070176353960138,135.396,proxied,55.63714913160517,12.075006617383028
DK.CAED/000096764.FACILITY,"I/S Vestforbrænding, Glostrup",Denmark,DNK,2022,5(b),high,21174.44,spatial_nearest,natural_gas,heat_battery,169.572,218.097,44.744,124.828,194.35,38.332,5.070176353960138,135.396,proxied,55.706479905675614,12.42220219858454
LT.CAED/110012450.FACILITY,UAB „Grigeo Tissue“,Lithuania,LTU,2022,6(b),high,40277.78,id_direct,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,54.678451,25.086705
LT.CAED/302648707.FACILITY2," ,,Lietuvos energijos gamyba“ AB, Elektrėnų elektrinė",Lithuania,LTU,2022,1(a),mid,1530558.33,spatial_nearest,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,54.773398,24.647993
LT.CAED/301276531.FACILITY,UAB „Fortum Klaipėda“,Lithuania,LTU,2022,5(b),high,5638.89,spatial_nearest,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,55.68099,21.202935
LT.CAED/166451720.FACILITY,"AB ""ORLEN Lietuva""",Lithuania,LTU,2022,1(a),mid,344519.44,id_direct,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,56.381366,22.176387
LT.CAED/156667399.FACILITY,"AB ""Achema""",Lithuania,LTU,2022,4(c),mid,10344444.45,id_direct,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,55.083703,24.335496
HU.OKIR/100500821.FACILITY,"ISD Kokszoló Kft. ""f. a.""",Hungary,HUN,2022,1(d),mid,537750.0,spatial_nearest,natural_gas,heat_battery,150.952,218.875,44.744,106.208,195.05,38.332,5.088437858708129,118.638,proxied,46.940316,18.937737
HU.OKIR/100423302.FACILITY,Isd Dunaferr Zrt.,Hungary,HUN,2022,2(a),high,537750.0,spatial_nearest,natural_gas,heat_battery,150.952,218.875,44.744,106.208,195.05,38.332,5.088437858708129,118.638,proxied,46.943314,18.940529
IT.CAED/301761003.FACILITY,Stabilimento di P.to Marghera,Italy,ITA,2022,4(a),mid,266906.39,id_direct,natural_gas,heat_battery,133.935,329.764,38.962,94.973,294.85,33.128,8.900326008210579,103.322,bnef,45.4438,12.2363
ES.CAED/003182000.FACILITY,SOLVAY QUIMICA (FÁBRICA DE TORRELAVEGA),Spain,ESP,2022,4(b)(iv),mid,1502791.11,id_direct,natural_gas,heat_battery,128.633,228.875,36.946,91.68700000000001,204.05,31.314,6.516254710353197,98.55,bnef,43.363203,-4.038539
ES.CAED/001593000.FACILITY,UBE CORPORATION EUROPE S.A. UNIPERSONAL,Spain,ESP,2022,4(a)(iv),mid,396661.95,spatial_nearest,natural_gas,heat_battery,128.633,228.875,36.946,91.68700000000001,204.05,31.314,6.516254710353197,98.55,bnef,39.952916,-0.005726
ES.CAED/003067000.FACILITY,FACTORIA MONTAÑANESA,Spain,ESP,2022,6(a),high,36713597.23,spatial_nearest,natural_gas,heat_battery,128.633,228.875,36.946,91.68700000000001,204.05,31.314,6.516254710353197,98.55,bnef,41.693825,-0.825523
HU.OKIR/103112830.FACILITY,Duna Furnace Dunai Vasmű Kft.,Hungary,HUN,2023,2(b),high,83352.78,spatial_nearest,natural_gas,heat_battery,135.265,322.708,44.744,90.52099999999999,288.5,38.332,7.5263487425649584,103.711,proxied,46.947504,18.93897
PL.MŚ/000000513.FACILITY,Polchar Sp. z o.o.,Poland,POL,2022,1(b),mid,228222.22,spatial_nearest,natural_gas,heat_battery,124.872,183.097,44.744,80.128,162.85,38.332,4.248408640300532,95.165,proxied,52.592414855957,14.6273193359375
FR.CAED/13783.FACILITY,SA DE LA RAFFINERIE DES ANTILLES,France,FRA,2023,1(a),mid,238182.7,id_direct,natural_gas,heat_battery,118.864,261.153,45.593,73.271,233.1,39.096,5.962246777163904,88.95,bnef,14.61665,-61.02625
https://registry.gdi-de.org/id/de.ni.mu/06277201660,Smurfit Westrock Hoya Papier & Board GmbH,Germany,DEU,2023,6(b),high,701514.72,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,52.81138,9.1502
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0888309,Venator Germany GmbH,Germany,DEU,2023,4(b)(v),mid,240611.11,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,51.43953,6.70524
https://registry.gdi-de.org/id/de.hb/de.hb.pf.bube-eureg.06-04-11/2005382/5/0,ArcelorMittal Bremen GmbH ,Germany,DEU,2023,2(b),high,127472.22,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,53.12494,8.68673
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34044741-00000000,BEB Bioenergie Baden GmbH ,Germany,DEU,2023,5(a),high,59793.61,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,48.5829,7.81992
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-366044-300-0079450,Smurfit Westrock Zülpich Paper GmbH,Germany,DEU,2023,6(b),high,379667.22,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,50.70659,6.65301
https://registry.gdi-de.org/id/de.st.lau.pf.anlagen-ied-euregistry/100276,Mercer Stendal GmbH ,Germany,DEU,2023,6(a),high,28753.89,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,52.72827,12.00586
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0077961,Hüttenwerke Krupp Mannesmann GmbH,Germany,DEU,2023,2(b),high,449933.06,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,51.36823,6.71227
https://registry.gdi-de.org/id/de.he.0945.de7.pf.eu_industrie/20000004,Opel Automobile GmbH ,Germany,DEU,2023,9(c),mid,1153044.44,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,49.99482,8.39753
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00334,Kelheim Fibres GmbH,Germany,DEU,2023,4(a)(viii),mid,665000.0,spatial_nearest,natural_gas,heat_battery,115.596,244.764,47.885,67.71100000000001,218.35,41.159,5.305036565514225,86.009,bnef,48.906098456176544,11.903295825411895
CZ.MZP.K413/CZ67078452.FACILITY,Synthomer a.s.,Czechia,CZE,2022,4(a)(ii),mid,191306.43,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.18125435,12.66782347
CZ.MZP.S206/CZ41646031.FACILITY,Rafinérie Kralupy nad Vltavou,Czechia,CZE,2022,1(a),mid,1786035.63,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.25840943,14.32869175
CZ.MZP.Z723/CZ11453276.FACILITY,"DEZA, a.s., Valašské Meziříčí",Czechia,CZE,2022,4(a)(i),mid,243695.32,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.49471568,17.95504475
CZ.MZP.U423/CZ15080054.FACILITY,"Lovochemie, a.s., Lovosice",Czechia,CZE,2022,4(c),mid,621592.72,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.51210615,14.07952847
CZ.MZP.T806/CZ78824241.FACILITY,Koksovna Svoboda,Czechia,CZE,2022,1(d),mid,198086.19,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.85923962,18.27581868
CZ.MZP.U425/CZ17751142.FACILITY,ORLEN Unipetrol RPA,Czechia,CZE,2022,4(a)(i),mid,4459515.28,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.56136055,13.61185648
CZ.MZP.T802/CZ29145586.FACILITY,Provozovna Třinec,Czechia,CZE,2022,2(b),high,1456667.79,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.68810552,18.64728154
CZ.MZP.T806/CZ95150686.FACILITY,Liberty Ostrava a.s.,Czechia,CZE,2022,2(b),high,1377881.03,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.7958697,18.30577783
CZ.MZP.U423/CZ63876696.FACILITY,Mondi Štětí a.s. - Celulozka,Czechia,CZE,2022,6(a),high,899093.97,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.46118536,14.37481449
CZ.MZP.E532/CZ53884341.FACILITY,Synthesia a. s.,Czechia,CZE,2022,4(a)(x),mid,687843.01,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.05719241,15.71540491
CZ.MZP.Z723/CZ92460364.FACILITY,CS CABOT,Czechia,CZE,2022,4(b)(v),mid,243695.32,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,49.50139807,17.95567516
NL.RIVM/000024302.FACILITY,Crown van Gelder International B.V.,Netherlands,NLD,2022,6(b),high,263177.35,spatial_nearest,natural_gas,heat_battery,108.965,204.041,44.744,64.221,181.7,38.332,4.74016487530001,80.849,proxied,52.46697,4.63896
AT.CAED/9008391215752.FACILITY,EVN Wärmekraftwerke GmbH,Austria,AUT,2023,5(b),high,1744222.22,spatial_nearest,natural_gas,heat_battery,106.163,283.708,44.744,61.419,253.4,38.332,6.610664718772827,77.52,proxied,48.327389,15.932417
PL.MŚ/000002919.FACILITY,Zakład PTA we Włocławku,Poland,POL,2024,4(a),mid,106777.78,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.7102241516113,18.9709720611572
PL.MŚ/000000626.FACILITY,KOKSOWNIA PRZYJAŹŃ,Poland,POL,2024,1(d),mid,379973.38,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.3400917053223,19.3372249603271
PL.MŚ/000000058.FACILITY,ArcelorMittal Poland S.A. Oddział Dąbrowa Górnicza,Poland,POL,2024,2(b),high,118083.33,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.3461112976074,19.28444480896
PL.MŚ/000003674.FACILITY,PCC Rokita S.A.,Poland,POL,2024,4(a),mid,395027.78,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.2689208984375,16.7353744506836
PL.MŚ/000003640.FACILITY,Polski Koncern Naftowy ORLEN S.A.,Poland,POL,2024,1(a),mid,8693472.22,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.58617,19.67325
PL.MŚ/000000021.FACILITY,KOKSOWNIA RADLIN,Poland,POL,2024,1(d),mid,102594.44,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.0377769470215,18.4866676330566
PL.MŚ/000000232.FACILITY,Dyckerhoff Polska Sp. z o.o.,Poland,POL,2024,3(c),high,17777.78,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.806941986084,20.5222225189209
PL.MŚ/000000309.FACILITY,SAINT-GOBAIN INNOVATIVE MATERIALS POLSKA SPÓŁKA Z O.O. ODDZIAŁ GLASS,Poland,POL,2024,3(e),high,204722.22,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,50.3058013916016,19.3013935089111
PL.MŚ/000000273.FACILITY,Euroglas Polska Sp. z o.o.,Poland,POL,2024,3(e),high,89833.33,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.6197776794434,19.9349212646484
PL.MŚ/000000215.FACILITY,CEMEX Polska Sp. z o.o - Zakład Cementownia Chełm,Poland,POL,2024,3(c),high,130077.78,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,51.1371726989746,23.5443572998047
PL.MŚ/000000973.FACILITY,HOMANIT KROSNO ODRZAŃSKIE Sp. z o.o.,Poland,POL,2024,6(b),high,26000.0,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.0219345092773,15.0831890106201
PL.MŚ/000000916.FACILITY,"ZAKŁAD PRODUKCYJNY ""SODA MĄTWY"" W INOWROCŁAWIU",Poland,POL,2024,4(b),mid,2075805.56,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.7494430541992,18.2366676330566
PL.MŚ/000000138.FACILITY,Arctic Paper Kostrzyn S.A.,Poland,POL,2024,6(b),high,887416.67,id_direct,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.5945816040039,14.6254749298096
