eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
ES.CAED/003067000.FACILITY,FACTORIA MONTAÑANESA,Spain,ESP,2022,6(a),high,36713597.23,spatial_nearest,natural_gas,heat_battery,128.633,228.875,36.946,91.68700000000001,204.05,31.314,6.516254710353197,98.55,bnef,41.693825,-0.825523
LT.CAED/156667399.FACILITY,"AB ""Achema""",Lithuania,LTU,2022,4(c),mid,10344444.45,id_direct,natural_gas,heat_battery,158.782,285.486,44.744,114.03800000000001,255.0,38.332,6.65240530105395,125.685,proxied,55.083703,24.335496
PL.MŚ/000003640.FACILITY,Polski Koncern Naftowy ORLEN S.A.,Poland,POL,2024,1(a),mid,8693472.22,spatial_nearest,natural_gas,heat_battery,104.661,234.541,44.744,59.917,209.15,38.332,5.456276740060524,81.015,proxied,52.58617,19.67325
ES.CAED/004857000.FACILITY,PLANTA DE VALORITZACIO ENERGETICA DE SANT ADRIA DE BESOS,Spain,ESP,2024,5(b),high,8263037.78,spatial_nearest,natural_gas,heat_battery,73.216,157.541,36.946,36.269999999999996,139.85,31.314,4.466053522386153,52.715,bnef,41.419171,2.229837
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/23020490,PCK Raffinerie GmbH,Germany,DEU,2024,1(a),mid,6965080.56,spatial_nearest,natural_gas,heat_battery,100.407,262.541,47.885,52.522,234.35,41.159,5.693772929371462,77.187,bnef,53.08759,14.23812
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-978024-900-9000377,INNOVATHERM -Ges.zur innovativen Nu tzung v.Brennstoffen,Germany,DEU,2024,5(a),high,6288635.83,spatial_nearest,natural_gas,heat_battery,100.407,262.541,47.885,52.522,234.35,41.159,5.693772929371462,77.187,bnef,51.6112,7.46506
FR.CAED/3814.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,FRA,2024,1(a),mid,4992146.97,id_direct,natural_gas,heat_battery,99.913,201.43,45.593,54.31999999999999,179.35,39.096,4.587425823613669,76.743,bnef,49.51034,0.22592
CZ.MZP.U425/CZ17751142.FACILITY,ORLEN Unipetrol RPA,Czechia,CZE,2022,4(a)(i),mid,4459515.28,spatial_nearest,natural_gas,heat_battery,111.739,191.764,44.744,66.995,170.65,38.332,4.451893978921006,83.346,proxied,50.56136055,13.61185648
IE.CAED/P0266.FACILITY,Irving Oil Whitegate Refinery Limited,Ireland,IRL,2024,1(a),mid,4245911.11,spatial_nearest,natural_gas,heat_battery,98.064,286.153,44.744,53.31999999999999,255.6,38.332,6.66805801940937,75.078,proxied,51.820571,-8.24794
IE.CAED/P0035.FACILITY,Aughinish Alumina Limited,Ireland,IRL,2024,4(b)(v),mid,4196775.0,spatial_nearest,natural_gas,heat_battery,98.064,286.153,44.744,53.31999999999999,255.6,38.332,6.66805801940937,75.078,proxied,52.624625,-9.059835
