geo,year,prev_price_EUR_MWh,price_EUR_MWh,pct_change,energy_type,flag
AT,2022,125.3,170.15,0.3579,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
AT,2023,170.15,253.4,0.4893,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
AT,2024,253.4,199.65,0.2121,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BA,2025,95.4,111.35,0.1672,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BE,2022,132.85,215.5,0.6221,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BE,2024,221.65,179.75,0.189,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BG,2016,73.7,89.5,0.2144,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BG,2021,82.95,126.3,0.5226,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BG,2022,126.3,176.5,0.3975,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
BG,2023,176.5,142.7,0.1915,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2008,139.1,161.7,0.1625,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2009,161.7,134.0,0.1713,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2010,134.0,161.75,0.2071,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2011,161.75,189.15,0.1694,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2012,189.15,229.05,0.2109,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2015,182.55,140.25,0.2317,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2016,140.25,117.15,0.1647,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2017,117.15,140.3,0.1976,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2020,170.95,140.6,0.1775,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2021,140.6,173.05,0.2308,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
CY,2022,173.05,281.65,0.6276,electricity,[PRICE_OUTLIER_CHECK_REQUIRED]
